_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,DAY1,TIME1,DAY2,TIME2,DAY3,TIME3,DAY4,TIME4
165,166,OPTICA,B-IV,JUEVES/8-10/F5,VIERNES/8-10/F8,"VIERNES/10-12/LAB. DE FISICA MODERNA, EDIF G.",,ERICK SARMIENTO GOMEZ,ERICK SARMIENTO GOMEZ,,,JUEVES,8-10,VIERNES,8-10,VIERNES,10-12,,
166,167,OPTIMIZACION Y SIMULACION DE PROCESOS,A,LUNES/17-19/CENTRO DE COMPUTO 2,MIERCOLES/17-19/CENTRO DE COMPUTO2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,LUNES,17-19,MIERCOLES,17-19,,,,
167,168,PRINCIPIOS DE OPERACION DE EQUIPOS MEDICOS,A,LUNES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,MIERCOLES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,VIERNES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,,JOSE GONZALEZ CRUZ,JOSE GONZALEZ CRUZ,,,LUNES,17-19,MIERCOLES,17-19,VIERNES,17-19,,
168,169,PROBABILIDAD Y ESTADISTICA,A,MARTES/10-12/F9,VIERNES/10-12/F9,,,KARLA ADRIANA ALAMO MARTINEZ,KARLA ADRIANA ALAMO MARTINEZ,,,MARTES,10-12,VIERNES,10-12,,,,
169,170,PROBABILIDAD Y ESTADISTICA,B,LUNES/8-10/F2,JUEVES/8-10/F2,,,MA. GUADALUPE LEON VERDIN,MA. GUADALUPE LEON VERDIN,,,LUNES,8-10,JUEVES,8-10,,,,
170,171,PROBLEMAS SOCIALES Y DEBATES CONTEMPORANEOS,A,MIERCOLES/16-19/AUDITORIO DEL EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,MIERCOLES,16-19,,,,,,
171,172,PROCESOS DE SEPARACION,A,"LUNES/12-14/LAB. DE IQ., EDIF. G","VIERNES/10-12/LAB. DE IQ., EDIF. G",,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,CHRISTIAN FELIPE RODRIGUEZ ROBLES,,,LUNES,12-14,VIERNES,10-12,,,,
172,173,PROGRAMACION BASICA,A,MARTES/8-10/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 1,,,ARTURO GONZALEZ VEGA,ARTURO GONZALEZ VEGA,,,MARTES,8-10,JUEVES,8-10,,,,
173,174,PROGRAMACION BASICA,B,MARTES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/CENTRO DE COMPUTO 1,,,SAMUEL ALEJANDRO JUAREZ SANCHEZ,SAMUEL ALEJANDRO JUAREZ SANCHEZ,,,MARTES,10-12,VIERNES,10-12,,,,
174,175,PROGRAMACION BASICA,C,MARTES/15-17/CENTRO DE COMPUTO 1,JUEVES/15-17/CENTRO DE COMPUTO 1,,,ARTURO VEGA GONZALEZ,ARTURO VEGA GONZALEZ,,,MARTES,15-17,JUEVES,15-17,,,,
175,176,PROGRAMACION BASICA,D,LUNES/17-19/CENTRO DE COMPUTO 1,MIERCOLES/17-19/CENTRO DE COMPUTO 1,,,FRANCISCO XAVIER LINARES CEDENO,FRANCISCO XAVIER LINARES CEDENO,,,LUNES,17-19,MIERCOLES,17-19,,,,
176,177,PROGRAMACION BASICA,E,MARTES/12-14/CENTRO DE COMPUTO 1,VIERNES/13-15/CENTRO DE COMPUTO 1,,,MARYSOL PEREZ GARCIA,MARYSOL PEREZ GARCIA,,,MARTES,12-14,VIERNES,13-15,,,,
177,178,PROGRAMACION BASICA,F,MIERCOLES/10-12/CENTRO DE COMPUTO 1,VIERNES/8-10/CENTRO DE COMPUTO 1,,,IGNACIO RAUL ROSAS ROMAN,IGNACIO RAUL ROSAS ROMAN,,,MIERCOLES,10-12,VIERNES,8-10,,,,
178,179,PROGRAMACION BASICA,G,LUNES/10-12/CENTRO DE COMPUTO 1,JUEVES/10-12/CENTRO DE COMPUTO 1,,,ORLANDO MIGUEL MEDINA CAZARES,ORLANDO MIGUEL MEDINA CAZARES,,,LUNES,10-12,JUEVES,10-12,,,,
179,180,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE COMPUTO 2,JUEVES/12-14/CENTRO DE COMPUTO 2,VIERNES/8-10/CENTRO DE COMPUTO 2,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,MARTES,12-14,JUEVES,12-14,VIERNES,8-10,,
180,181,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/12-14/CENTRO DE COMPUTO 1,MIERCOLES/12-14/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 2,,LUIS ERNESTO MANCILLA ESPINOZA,LUIS ERNESTO MANCILLA ESPINOZA,,,LUNES,12-14,MIERCOLES,12-14,JUEVES,8-10,,
181,182,PROPIEDADES FISICOQUIMICAS,A-I,MIERCOLES/12-14/AUDITORIO DEL EDIF. B,JUEVES/12-14/F8,"VIERNES/8-10/LAB. DE QUIMICA, EDIF. F",,BIRZABITH MENDOZA NOVELO / ANGELICA JACQUELINE CHAVEZ MARTINEZ,BIRZABITH MENDOZA NOVELO,ANGELICA JACQUELINE CHAVEZ MARTINEZ,,MIERCOLES,12-14,JUEVES,12-14,VIERNES,8-10,,
182,183,PROPIEDADES FISICOQUIMICAS,A-II,MIERCOLES/12-14/AUDITORIO DEL EDIF. B,JUEVES/12-14/F8,"LUNES/10-12/LAB. DE QUIMICA, EDIF. F",,BIRZABITH MENDOZA NOVELO / ANGELICA JACQUELINE CHAVEZ MARTINEZ,BIRZABITH MENDOZA NOVELO,ANGELICA JACQUELINE CHAVEZ MARTINEZ,,MIERCOLES,12-14,JUEVES,12-14,LUNES,10-12,,
183,184,QUIMICA ANALITICA,A-I,LUNES/10-12/F7,VIERNES/13-14/F7,"JUEVES/12-15/LAB. DE QUIMICA, EDIF. F",,JOSE ANTONIO REYES AGUILERA,JOSE ANTONIO REYES AGUILERA,,,LUNES,10-12,VIERNES,13-14,JUEVES,12-15,,
184,185,QUIMICA ANALITICA,A-II,LUNES/10-12/F7,VIERNES/13-14/F7,"VIERNES/10-13/LAB. DE QUIMICA, EDIF. F",,JOSE ANTONIO REYES AGUILERA,JOSE ANTONIO REYES AGUILERA,,,LUNES,10-12,VIERNES,13-14,VIERNES,10-13,,
185,186,QUIMICA GENERAL,A-I,MIERCOLES/11-12/G1,VIERNES/8-10/G1,"MIERCOLES/8-11/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / ANGELICA JACQUELINE CHAVEZ MARTINEZ,SUSANA FIGUEROA GERSTENMAIER,ANGELICA JACQUELINE CHAVEZ MARTINEZ,,MIERCOLES,11-12,VIERNES,8-10,MIERCOLES,8-11,,
186,187,QUIMICA GENERAL,A-IV,MIERCOLES/11-12/G1,VIERNES/8-10/G1,"VIERNES/12-15/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / ESTHELA PAOLA GARCIA TEJEDA,SUSANA FIGUEROA GERSTENMAIER,ESTHELA PAOLA GARCIA TEJEDA,,MIERCOLES,11-12,VIERNES,8-10,VIERNES,12-15,,
187,188,QUIMICA GENERAL,A-X,MIERCOLES/11-12/G1,VIERNES/8-10/G1,"MIERCOLES/15-18/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / JUAN ARTURO SORIA RAMIREZ,SUSANA FIGUEROA GERSTENMAIER,JUAN ARTURO SORIA RAMIREZ,,MIERCOLES,11-12,VIERNES,8-10,MIERCOLES,15-18,,
188,189,QUIMICA GENERAL,B-II,JUEVES/12-14/F6,VIERNES/13-14/F6,"JUEVES/8-11/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER,SUSANA FIGUEROA GERSTENMAIER,,,JUEVES,12-14,VIERNES,13-14,JUEVES,8-11,,
189,190,QUIMICA GENERAL,B-IX,JUEVES/12-14/F6,VIERNES/13-14/F6,"LUNES/12-15/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / ESTHELA PAOLA GARCIA TEJEDA,SUSANA FIGUEROA GERSTENMAIER,ESTHELA PAOLA GARCIA TEJEDA,,JUEVES,12-14,VIERNES,13-14,LUNES,12-15,,
190,191,QUIMICA GENERAL,B-VI,JUEVES/12-14/F6,VIERNES/13-14/F6,"VIERNES/15-18/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / JUAN ARTURO SORIA RAMIREZ,SUSANA FIGUEROA GERSTENMAIER,JUAN ARTURO SORIA RAMIREZ,,JUEVES,12-14,VIERNES,13-14,VIERNES,15-18,,
191,192,QUIMICA GENERAL,B-XI,JUEVES/12-14/F6,VIERNES/13-14/F6,"LUNES/15-18/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / JUAN ARTURO SORIA RAMIREZ,SUSANA FIGUEROA GERSTENMAIER,JUAN ARTURO SORIA RAMIREZ,,JUEVES,12-14,VIERNES,13-14,LUNES,15-18,,
192,193,QUIMICA GENERAL,C-V,LUNES/9-10/F6,MIERCOLES/8-10/F6,"MIERCOLES/12-15/LAB. DE QUIMICA, EDIF. G",,CHRISTIAN GOMEZ SOLIS / MA. CONCEPCION GARCIA CASTANEDA,CHRISTIAN GOMEZ SOLIS,MA. CONCEPCION GARCIA CASTANEDA,,LUNES,9-10,MIERCOLES,8-10,MIERCOLES,12-15,,
193,194,QUIMICA GENERAL,C-VII,LUNES/9-10/F6,MIERCOLES/8-10/F6,"JUEVES/12-15/LAB. DE QUIMICA, EDIF. G",,CHRISTIAN GOMEZ SOLIS / PATRICIA MARIA OLMOS MOYA,CHRISTIAN GOMEZ SOLIS,PATRICIA MARIA OLMOS MOYA,,LUNES,9-10,MIERCOLES,8-10,JUEVES,12-15,,
194,195,QUIMICA GENERAL,C-VIII,LUNES/9-10/F6,MIERCOLES/8-10/F6,"VIERNES/8-11/LAB. DE QUIMICA, EDIF. G",,CHRISTIAN GOMEZ SOLIS / PATRICIA MARIA OLMOS MOYA,CHRISTIAN GOMEZ SOLIS,PATRICIA MARIA OLMOS MOYA,,LUNES,9-10,MIERCOLES,8-10,VIERNES,8-11,,
195,196,QUIMICA GENERAL,C-X,LUNES/9-10/F6,MIERCOLES/8-10/F6,"MIERCOLES/15-18/LAB. DE QUIMICA, EDIF. G",,CHRISTIAN GOMEZ SOLIS / JUAN ARTURO SORIA RAMIREZ,CHRISTIAN GOMEZ SOLIS,JUAN ARTURO SORIA RAMIREZ,,LUNES,9-10,MIERCOLES,8-10,MIERCOLES,15-18,,
196,197,QUIMICA GENERAL,D-V,LUNES/17-19/F1,MIERCOLES/17-18/F1,"MIERCOLES/12-15/LAB. DE QUIMICA, EDIF. G",,MA. CONCEPCION GARCIA CASTANEDA,MA. CONCEPCION GARCIA CASTANEDA,,,LUNES,17-19,MIERCOLES,17-18,MIERCOLES,12-15,,
197,198,QUIMICA GENERAL,D-VI,LUNES/17-19/F1,MIERCOLES/17-18/F1,"VIERNES/15-18/LAB. DE QUIMICA, EDIF. G",,MA. CONCEPCION GARCIA CASTANEDA / JUAN ARTURO SORIA RAMIREZ,MA. CONCEPCION GARCIA CASTANEDA,JUAN ARTURO SORIA RAMIREZ,,LUNES,17-19,MIERCOLES,17-18,VIERNES,15-18,,
198,199,QUIMICA GENERAL,D-VII,LUNES/17-19/F1,MIERCOLES/17-18/F1,"JUEVES/12-15/LAB. DE QUIMICA, EDIF. G",,MA. CONCEPCION GARCIA CASTANEDA / PATRICIA MARIA OLMOS MOYA,MA. CONCEPCION GARCIA CASTANEDA,PATRICIA MARIA OLMOS MOYA,,LUNES,17-19,MIERCOLES,17-18,JUEVES,12-15,,
199,200,QUIMICA GENERAL,D-VIII,LUNES/17-19/F1,MIERCOLES/17-18/F1,"VIERNES/8-11/LAB. DE QUIMICA, EDIF. G",,MA. CONCEPCION GARCIA CASTANEDA / PATRICIA MARIA OLMOS MOYA,MA. CONCEPCION GARCIA CASTANEDA,PATRICIA MARIA OLMOS MOYA,,LUNES,17-19,MIERCOLES,17-18,VIERNES,8-11,,
200,201,QUIMICA GENERAL,E-II,MARTES/12-14/ F5,JUEVES/11-12/F6,"JUEVES/8-11/LAB. DE QUIMICA, EDIF. G",,MARIA DE LOS ANGELES MENDOZA / SUSANA FIGUEROA GERSTENMAIER,MARIA DE LOS ANGELES MENDOZA,SUSANA FIGUEROA GERSTENMAIER,,MARTES,12-14,JUEVES,11-12,JUEVES,8-11,,
201,202,QUIMICA GENERAL,E-III,MARTES/12-14/ F5,JUEVES/11-12/F6,"JUEVES/15-18/LAB. DE QUIMICA, EDIF. G",,MARIA DE LOS ANGELES MENDOZA / ESTHELA PAOLA GARCIA TEJEDA,MARIA DE LOS ANGELES MENDOZA,ESTHELA PAOLA GARCIA TEJEDA,,MARTES,12-14,JUEVES,11-12,JUEVES,15-18,,
202,203,QUIMICA GENERAL,E-V,MARTES/12-14/ F5,JUEVES/11-12/F6,"MIERCOLES/12-15/LAB. DE QUIMICA, EDIF. G",,MARIA DE LOS ANGELES MENDOZA / MA. CONCEPCION GARCIA CASTANEDA,MARIA DE LOS ANGELES MENDOZA,MA. CONCEPCION GARCIA CASTANEDA,,MARTES,12-14,JUEVES,11-12,MIERCOLES,12-15,,
203,204,QUIMICA GENERAL,F-III,MIERCOLES/10-12/AUDITORIO DEL EDIF. G,VIERNES/11-12/G1,"JUEVES/15-18/LAB. DE QUIMICA, EDIF. G",,MA. ARACELI RUIZ AVALOS / ESTHELA PAOLA GARCIA TEJEDA,MA. ARACELI RUIZ AVALOS,ESTHELA PAOLA GARCIA TEJEDA,,MIERCOLES,10-12,VIERNES,11-12,JUEVES,15-18,,
204,205,QUIMICA GENERAL,F-IV,MIERCOLES/10-12/AUDITORIO DEL EDIF. G,VIERNES/11-12/G1,"VIERNES/12-15/LAB. DE QUIMICA, EDIF. G",,MA. ARACELI RUIZ AVALOS / ESTHELA PAOLA GARCIA TEJEDA,MA. ARACELI RUIZ AVALOS,ESTHELA PAOLA GARCIA TEJEDA,,MIERCOLES,10-12,VIERNES,11-12,VIERNES,12-15,,
205,206,QUIMICA GENERAL,F-VI,MIERCOLES/10-12/AUDITORIO DEL EDIF. G,VIERNES/11-12/G1,"VIERNES/15-18/LAB. DE QUIMICA, EDIF. G",,MA. ARACELI RUIZ AVALOS / JUAN ARTURO SORIA RAMIREZ,MA. ARACELI RUIZ AVALOS,JUAN ARTURO SORIA RAMIREZ,,MIERCOLES,10-12,VIERNES,11-12,VIERNES,15-18,,
206,207,QUIMICA GENERAL,F-X,MIERCOLES/10-12/AUDITORIO DEL EDIF. G,VIERNES/11-12/G1,"MIERCOLES/15-18/LAB. DE QUIMICA, EDIF. G",,MA. ARACELI RUIZ AVALOS / JUAN ARTURO SORIA RAMIREZ,MA. ARACELI RUIZ AVALOS,JUAN ARTURO SORIA RAMIREZ,,MIERCOLES,10-12,VIERNES,11-12,MIERCOLES,15-18,,
207,208,QUIMICA GENERAL,F-XI,MIERCOLES/10-12/AUDITORIO DEL EDIF. G,VIERNES/11-12/G1,"LUNES/15-18/LAB. DE QUIMICA, EDIF. G",,MA. ARACELI RUIZ AVALOS / JUAN ARTURO SORIA RAMIREZ,MA. ARACELI RUIZ AVALOS,JUAN ARTURO SORIA RAMIREZ,,MIERCOLES,10-12,VIERNES,11-12,LUNES,15-18,,
208,209,QUIMICA INORGANICA DESCRIPTIVA,A-I,JUEVES/13-14/F2,VIERNES/12-14/C3,"MARTES/15-18/LAB. DE QUIMICA, EDIF G",,MARIA DE LOS ANGELES MENDOZA,MARIA DE LOS ANGELES MENDOZA,,,JUEVES,13-14,VIERNES,12-14,MARTES,15-18,,
209,210,QUIMICA ORGANICA AVANZADA,A-I,MARTES/8-10/F7,JUEVES/12-13/F7,"MIERCOLES/12-15/LAB. DE QUIMICA, EDIF. F",,ANA LILIA GONZALEZ YEBRA/FERNANDO HERNANDEZ BORJA,ANA LILIA GONZALEZ YEBRA,FERNANDO HERNANDEZ BORJA,,MARTES,8-10,JUEVES,12-13,MIERCOLES,12-15,,
210,211,QUIMICA ORGANICA BASICA,A-I,JUEVES/12-13/F2,VIERNES/8-10/F2,"JUEVES/8-11/LAB. DE QUIMICA, EDIF. F",,MARIA DE LOS ANGELES MENDOZA/ANA LILIA GONZALEZ YEBRA,MARIA DE LOS ANGELES MENDOZA,ANA LILIA GONZALEZ YEBRA,,JUEVES,12-13,VIERNES,8-10,JUEVES,8-11,,
211,212,QUIMICA ORGANICA BASICA,A-II,JUEVES/12-13/F2,VIERNES/8-10/F2,"MARTES/12-15/LAB. DE QUIMICA, EDIF. F",,MARIA DE LOS ANGELES MENDOZA/MA. ARACELI RUIZ AVALOS,MARIA DE LOS ANGELES MENDOZA,MA. ARACELI RUIZ AVALOS,,JUEVES,12-13,VIERNES,8-10,MARTES,12-15,,
212,213,QUIMICA ORGANICA BASICA,A-III,JUEVES/12-13/F2,VIERNES/8-10/F2,"MIERCOLES/8-11/ LAB. DE QUIMICA, EDIF. F",,MARIA DE LOS ANGELES MENDOZA/ (BIRZABITH MENDOZA NOVELO Y SOLANGE IVETTE RIVERA MANRIQUE),MARIA DE LOS ANGELES MENDOZA,(BIRZABITH MENDOZA NOVELO Y SOLANGE IVETTE RIVERA MANRIQUE),,JUEVES,12-13,VIERNES,8-10,MIERCOLES,8-11,,
213,214,RADIOLOGIA,A,MARTES/15-18/C3,JUEVES/15-18/C3,,,MANUEL IVAN LEON MADRID,MANUEL IVAN LEON MADRID,,,MARTES,15-18,JUEVES,15-18,,,,
214,215,RELATIVIDAD GENERAL,A,MARTES/17-19/F6,JUEVES/17-19/F6,,,JOSE LUIS LOPEZ PICON,JOSE LUIS LOPEZ PICON,,,MARTES,17-19,JUEVES,17-19,,,,
215,216,SEGURIDAD E HIGIENE LABORAL,A,VIERNES/12-15/F8,,,,DULCE ARACELI GUZMAN ROCHA,DULCE ARACELI GUZMAN ROCHA,,,VIERNES,12-15,,,,,,
216,217,SEGURIDAD E HIGIENE LABORAL,B,LUNES/8-10/F5,VIERNES/12-13/F7,,,MA. ARACELY RUIZ AVALOS,MA. ARACELY RUIZ AVALOS,,,LUNES,8-10,VIERNES,12-13,,,,
217,218,SEGURIDAD EN EQUIPO MEDICO,A,SABADO/8-14/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,,,,JOSE GONZALEZ CRUZ,JOSE GONZALEZ CRUZ,,,SABADO,8-14,,,,,,
218,219,SINTESIS DE POLIMEROS,A,MARTES/17-19/F2,MIERCOLES/15-17/AUDITORIO DEL EDIFICIO B,,,IRAIS AMARANTA QUINTERO ORTEGA/JOSE JORGE DELGADO GARCIA,IRAIS AMARANTA QUINTERO ORTEGA,JOSE JORGE DELGADO GARCIA,,MARTES,17-19,MIERCOLES,15-17,,,,
219,220,SISTEMAS LINEALES,A,LUNES/10-12/F8,MIERCOLES/10-12/F8,,,HUETZIN AARON PEREZ OLIVAS,HUETZIN AARON PEREZ OLIVAS,,,LUNES,10-12,MIERCOLES,10-12,,,,
220,221,SISTEMAS LINEALES,B,MARTES/8-10/F5,JUEVES/10-12/C3,,,HUETZIN AARON PEREZ OLIVAS,HUETZIN AARON PEREZ OLIVAS,,,MARTES,8-10,JUEVES,10-12,,,,
221,222,TELEMEDICINA,A,LUNES/15-17/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,MIERCOLES/15-17/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,,,ARTURO VEGA GONZALEZ,ARTURO VEGA GONZALEZ,,,LUNES,15-17,MIERCOLES,15-17,,,,
222,223,TEMAS SELECTOS DE FISICA (FISICA NUCLEAR),A,LUNES/15-17/F8,MIERCOLES/15-17/F8,,,MODESTO ANTONIO SOSA AQUINO,MODESTO ANTONIO SOSA AQUINO,,,LUNES,15-17,MIERCOLES,15-17,,,,
223,224,TEMAS SELECTOS DE FISICA (MACHINE LEARNING),B,MARTES/17-19/CENTRO DE COMPUTO 1,VIERNES/17-19/CENTRO DE COMPUTO 1,,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,MARTES,17-19,VIERNES,17-19,,,,
224,225,TEORIA CUANTICA DE CAMPOS,A,MARTES/17-19/F9,JUEVES/17-19/AUDITORIO DEL EDIFICIO B,,,CARLOS ALBERTO VAQUERA ARAUJO,CARLOS ALBERTO VAQUERA ARAUJO,,,MARTES,17-19,JUEVES,17-19,,,,
225,226,TERMODINAMICA,A-I,MIERCOLES/8-10/F5,VIERNES/8-10/F5,"VIERNES/10-12/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS / JUAN FRANCISCO RAYAS ROJAS,JOSE TORRES ARENAS,JUAN FRANCISCO RAYAS ROJAS,,MIERCOLES,8-10,VIERNES,8-10,VIERNES,10-12,,
226,227,TERMODINAMICA,A-III,MIERCOLES/8-10/F5,VIERNES/8-10/F5,"MIERCOLES/10-12/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS / JORGE ALBERTO MOLINA GONZALEZ,JOSE TORRES ARENAS,JORGE ALBERTO MOLINA GONZALEZ,,MIERCOLES,8-10,VIERNES,8-10,MIERCOLES,10-12,,
227,228,TERMODINAMICA,A-IV,MIERCOLES/8-10/F5,VIERNES/8-10/F5,"LUNES/15-17/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS/JORGE ALBERTO MOLINA GONZALEZ,JOSE TORRES ARENAS,JORGE ALBERTO MOLINA GONZALEZ,,MIERCOLES,8-10,VIERNES,8-10,LUNES,15-17,,
228,229,TERMODINAMICA,B-II,LUNES/12-14/F8,JUEVES/10-12/F8,"MIERCOLES/12-14/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS/JORGE ALBERTO MOLINA GONZALEZ,JOSE TORRES ARENAS,JORGE ALBERTO MOLINA GONZALEZ,,LUNES,12-14,JUEVES,10-12,MIERCOLES,12-14,,
229,230,TERMODINAMICA,B-III,LUNES/12-14/F8,JUEVES/10-12/F8,"MIERCOLES/10-12/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS / JORGE ALBERTO MOLINA GONZALEZ,JOSE TORRES ARENAS,JORGE ALBERTO MOLINA GONZALEZ,,LUNES,12-14,JUEVES,10-12,MIERCOLES,10-12,,
230,231,TERMODINAMICA,B-V,LUNES/12-14/F8,JUEVES/10-12/F8,"VIERNES/8-10/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS/JORGE ALBERTO MOLINA GONZALEZ,JOSE TORRES ARENAS,JORGE ALBERTO MOLINA GONZALEZ,,LUNES,12-14,JUEVES,10-12,VIERNES,8-10,,
231,232,TERMODINAMICA,C-VI,MIERCOLES/10-12/F9,VIERNES/10-12/F8,"JUEVES/10-12/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS/JORGE ALBERTO MOLINA GONZALEZ,JOSE TORRES ARENAS,JORGE ALBERTO MOLINA GONZALEZ,,MIERCOLES,10-12,VIERNES,10-12,JUEVES,10-12,,
232,233,TERMODINAMICA,C-VII,MIERCOLES/10-12/F9,VIERNES/10-12/F8,"MARTES/12-14/ LAB. DE TERMODINAMICA, EDIF. G",,JOSE TORRES ARENAS / NATALIA RINCON LONDONO,JOSE TORRES ARENAS,NATALIA RINCON LONDONO,,MIERCOLES,10-12,VIERNES,10-12,MARTES,12-14,,
233,234,TERMODINAMICA,D-III,LUNES/10-12/F9,VIERNES/12-14/F9,"MIERCOLES/10-12/ LAB. DE TERMODINAMICA, EDIF. G",,RAMON CASTANEDA PRIEGO/JORGE ALBERTO MOLINA GONZALEZ,RAMON CASTANEDA PRIEGO,JORGE ALBERTO MOLINA GONZALEZ,,LUNES,10-12,VIERNES,12-14,MIERCOLES,10-12,,
234,235,TERMODINAMICA,D-VIII,LUNES/10-12/F9,VIERNES/12-14/F9,"MARTES/15-17/ LAB. DE TERMODINAMICA, EDIF. G",,RAMON CASTANEDA PRIEGO/JORGE ALBERTO MOLINA GONZALEZ,RAMON CASTANEDA PRIEGO,JORGE ALBERTO MOLINA GONZALEZ,,LUNES,10-12,VIERNES,12-14,MARTES,15-17,,
235,236,TERMODINAMICA QUIMICA,A,LUNES/17-19/F5,"LUNES/14-16/LAB. DE QUIMICA, EDIF. F",JUEVES/17-19/CENTRO DE COMPUTO 2,,IRAIS AMARANTA QUINTERO ORTEGA,IRAIS AMARANTA QUINTERO ORTEGA,,,LUNES,17-19,LUNES,14-16,JUEVES,17-19,,
236,237,TOPICOS SELECTOS DE ASTRONOMIA,A,MARTES/15-17/C2,JUEVES/15-17/C2,,,CARSTEN HOLTFORT,CARSTEN HOLTFORT,,,MARTES,15-17,JUEVES,15-17,,,,
237,238,TOPICOS SELECTOS DE ASTRONOMIA,B,LUNES/14-16/F9,MIERCOLES/14-16/F9,,,OCTAVIO JOSE OBREGON DIAZ,OCTAVIO JOSE OBREGON DIAZ,,,LUNES,14-16,MIERCOLES,14-16,,,,
238,239,TOPICOS SELECTOS DE ENERGIAS ALTERNAS,A,MARTES/17-19/F8,JUVES/17-19/F8,,,ELDER DE LA ROSA CRUZ,ELDER DE LA ROSA CRUZ,,,MARTES,17-19,JUVES,17-19,,,,
239,240,VARIABLE COMPLEJA,A,MIERCOLES/8-10/F7,VIERNES/8-10/F7,,,MARCO ANTONIO REYES SANTOS,MARCO ANTONIO REYES SANTOS,,,MIERCOLES,8-10,VIERNES,8-10,,,,
240,241,VARIABLE COMPLEJA,B,MARTES/10-12/C3,VIERNES/10-12/F6,,,AZARAEL ADONAY YEBRA PEREZ,AZARAEL ADONAY YEBRA PEREZ,,,MARTES,10-12,VIERNES,10-12,,,,
